"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
0.17	0.0091	0.003	0.00183	6951	7751	7351	0.158	0.187	0.173	0.246	0.02	NA	NA	NA	NA	NA	0.037	0.2
0.2	0.00812	0.004	0.00163	7751	8504	8128	0.187	0.216	0.202	0.249	0.02	NA	NA	NA	NA	NA	0.033	0.2
0.23	0.008	0.004	0.0016	8504	9258	8881	0.216	0.245	0.23	0.25	0.02	NA	NA	NA	NA	NA	0.032	0.2
0.26	0.00712	0.004	0.00143	9258	10011	9635	0.245	0.274	0.259	0.25	0.02	NA	NA	NA	NA	NA	0.028	0.2
0.29	0.00764	0.004	0.00153	10011	10710	10361	0.274	0.302	0.288	0.249	0.01	NA	NA	NA	NA	NA	0.031	0.2
0.32	0.00736	0.004	0.00147	10710	11450	11080	0.302	0.331	0.317	0.248	0.01	NA	NA	NA	NA	NA	0.03	0.2
0.35	0.00839	0.005	0.00168	11450	12116	11783	0.331	0.36	0.346	0.246	0.01	NA	NA	NA	NA	NA	0.034	0.2
0.37	0.00818	0.005	0.00164	12190	12846	12518	0.36	0.389	0.375	0.245	0.01	NA	NA	NA	NA	NA	0.033	0.2
0.4	0.00671	0.005	0.00135	12846	13568	13207	0.389	0.418	0.403	0.244	0.01	NA	NA	NA	NA	NA	0.028	0.2
0.43	0.00694	0.006	0.00139	13568	14220	13894	0.418	0.447	0.432	0.243	0.01	NA	NA	NA	NA	NA	0.029	0.2
0.46	0.00771	0.006	0.00155	14220	14909	14565	0.447	0.475	0.461	0.243	0.01	NA	NA	NA	NA	NA	0.032	0.2
0.49	0.00639	0.006	0.00128	14909	15559	15234	0.475	0.504	0.49	0.242	0.01	NA	NA	NA	NA	NA	0.026	0.2
0.52	0.00463	0.006	0.00093	15559	16247	15903	0.504	0.533	0.519	0.242	0.01	NA	NA	NA	NA	NA	0.019	0.2
0.55	0.00498	0.007	0.001	16247	16942	16595	0.533	0.562	0.547	0.242	0.01	NA	NA	NA	NA	NA	0.021	0.2
0.58	0.00437	0.008	0.00088	16942	17636	17289	0.562	0.591	0.576	0.242	0.01	NA	NA	NA	NA	NA	0.018	0.2
0.6	0.00491	0.007	0.00098	17636	18329	17983	0.591	0.619	0.605	0.242	0.01	NA	NA	NA	NA	NA	0.02	0.2
0.63	0.00541	0.008	0.00108	18329	18973	18651	0.619	0.648	0.634	0.241	0.01	NA	NA	NA	NA	NA	0.022	0.2
0.66	0.00591	0.008	0.00118	18973	19616	19295	0.648	0.677	0.663	0.239	0.01	NA	NA	NA	NA	NA	0.025	0.2
0.69	0.00546	0.008	0.00109	19616	20256	19936	0.677	0.706	0.691	0.238	0.01	NA	NA	NA	NA	NA	0.023	0.2
0.72	0.0049	0.009	0.00098	20256	20894	20575	0.706	0.735	0.72	0.238	0.01	NA	NA	NA	NA	NA	0.021	0.2
0.75	0.00614	0.009	0.00123	20894	21531	21213	0.735	0.763	0.749	0.238	0.01	NA	NA	NA	NA	NA	0.026	0.2
0.78	0.00523	0.009	0.00105	21531	22121	21826	0.763	0.792	0.778	0.239	0.01	NA	NA	NA	NA	NA	0.022	0.2
0.81	0.00536	0.009	0.00107	22121	22845	22483	0.792	0.821	0.807	0.24	0.01	NA	NA	NA	NA	NA	0.022	0.2
0.84	0.00536	0.01	0.00107	22845	23478	23162	0.821	0.85	0.835	0.243	0.01	NA	NA	NA	NA	NA	0.022	0.2
