"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
0.55	5.7	0.24	0.89	1	2	1.5	NA	NA	0.553	20.435	0.043	NA	NA	NA	NA	0.28	NA	0.15
1	5.04	0.23	0.79	5	6	5.5	NA	NA	1.004	19.757	0.045	NA	NA	NA	NA	0.26	NA	0.15
2.21	4.76	0.49	0.74	10	11	10.5	NA	NA	2.21	18.691	0.043	NA	NA	NA	NA	0.25	NA	0.15
3.44	3.34	0.47	0.52	15	16	15.5	NA	NA	3.44	16.881	0.037	NA	NA	NA	NA	0.2	NA	0.15
4.56	2.64	0.1	0.41	20	21	20.5	NA	NA	4.558	16.341	0.034	NA	NA	NA	NA	0.16	NA	0.15
5.57	1.11	0.34	0.17	25	26	25.5	NA	NA	5.57	13.9	0.022	NA	NA	NA	NA	0.08	NA	0.15
6.57	1.23	0.08	0.19	30	31	30.5	NA	NA	6.573	14.57	0.022	NA	NA	NA	NA	0.08	NA	0.15
7.48	0.85	0.3	0.13	35	36	35.5	NA	NA	7.476	14.261	0.02	NA	NA	NA	NA	0.06	NA	0.15
8.38	0.68	0.08	0.1	40	41	40.5	NA	NA	8.376	13.9	0.02	NA	NA	NA	NA	0.05	NA	0.15
9.19	1.1	0.33	0.17	45	46	45.5	NA	NA	9.192	15.574	0.022	NA	NA	NA	NA	0.07	NA	0.15
10.08	1.53	0.31	0.23	50	51	50.5	NA	NA	10.078	15.831	0.024	NA	NA	NA	NA	0.1	NA	0.15
10.79	2.87	0.13	0.44	55	56	55.5	NA	NA	10.787	19.523	0.033	NA	NA	NA	NA	0.15	NA	0.15
11.24	3.26	0.22	0.5	60	61	60.5	NA	NA	11.244	20.974	0.033	NA	NA	NA	NA	0.16	NA	0.15
11.71	4.48	0.25	0.69	65	66	65.5	NA	NA	11.707	21.201	0.037	NA	NA	NA	NA	0.21	NA	0.15
