"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
2.5	1.1151	0.25	0.1046	0.5	1.5	1	NA	NA	2.5	11.083	0.007	NA	NA	NA	NA	NA	0.101	0.09
2.79	1.0946	0.28	0.1027	2.5	3.5	3	NA	NA	2.79	10.14	0.006	NA	NA	NA	NA	NA	0.108	0.09
3.23	1.1068	0.32	0.1037	5.5	6.5	6	NA	NA	3.23	9.923	0.006	NA	NA	NA	NA	NA	0.112	0.09
3.66	1.117	0.37	0.1048	8.5	9.5	9	NA	NA	3.66	9.705	0.007	NA	NA	NA	NA	NA	0.115	0.09
4.1	1.1252	0.41	0.1054	11.5	12.5	12	NA	NA	4.1	9.417	0.005	NA	NA	NA	NA	NA	0.119	0.09
4.53	1.1539	0.45	0.1081	14.5	15.5	15	NA	NA	4.53	9.624	0.006	NA	NA	NA	NA	NA	0.12	0.09
4.97	1.168	0.5	0.1096	17.5	18.5	18	NA	NA	4.97	10.662	0.006	NA	NA	NA	NA	NA	0.11	0.09
5.48	1.295	0.55	0.1218	21	22	21.5	NA	NA	5.48	9.214	0.01	NA	NA	NA	NA	NA	0.141	0.09
5.92	1.2731	0.59	0.1195	24	25	24.5	NA	NA	5.92	9.932	0.006	NA	NA	NA	NA	NA	0.128	0.09
6.22	1.3139	0.62	0.1233	26	27	26.5	NA	NA	6.22	10.168	0.007	NA	NA	NA	NA	NA	0.129	0.09
6.74	1.3897	0.67	0.1304	29.5	30.5	30	NA	NA	6.74	9.636	0.007	NA	NA	NA	NA	NA	0.144	0.09
7.33	1.3639	0.73	0.1282	33.5	34.5	34	NA	NA	7.33	9.985	0.007	NA	NA	NA	NA	NA	0.137	0.09
7.63	1.4509	0.76	0.1363	35.5	36.5	36	NA	NA	7.63	10.295	0.008	NA	NA	NA	NA	NA	0.141	0.09
8.22	1.5788	0.82	0.1479	39.5	40.5	40	NA	NA	8.22	10.429	0.006	NA	NA	NA	NA	NA	0.151	0.09
8.66	1.7232	0.87	0.1626	42.5	43.5	43	NA	NA	8.66	10.967	0.012	NA	NA	NA	NA	NA	0.157	0.09
8.94	1.5801	0.89	0.1482	44.5	45.5	45	NA	NA	8.94	11.191	0.006	NA	NA	NA	NA	NA	0.141	0.09
9.65	1.7493	0.96	0.1645	49.5	50.5	50	NA	NA	9.65	10.519	0.009	NA	NA	NA	NA	NA	0.166	0.09
10.07	1.821	1.01	0.1715	52.5	53.5	53	NA	NA	10.07	10.541	0.011	NA	NA	NA	NA	NA	0.173	0.09
10.49	1.8394	1.05	0.1727	55.5	56.5	56	NA	NA	10.49	9.941	0.007	NA	NA	NA	NA	NA	0.185	0.09
11.06	2.0603	1.11	0.1933	59.5	60.5	60	NA	NA	11.06	9.555	0.008	NA	NA	NA	NA	NA	0.216	0.09
11.53	1.9701	1.15	0.1851	63.5	64.5	64	NA	NA	11.53	9.257	0.009	NA	NA	NA	NA	NA	0.213	0.09
11.85	1.9818	1.19	0.186	66.5	67.5	67	NA	NA	11.85	9.228	0.008	NA	NA	NA	NA	NA	0.215	0.09
