"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
4.61	0.1256	0.31	0.0182	1	2	1.5	NA	NA	4.61	6.162	0.013	NA	NA	NA	NA	NA	0.02	0.14
5.11	0.1405	0.35	0.0183	3	4	3.5	NA	NA	5.11	6.105	0.013	NA	NA	NA	NA	NA	0.023	0.13
5.37	0.1607	0.36	0.0259	4	5	4.5	NA	NA	5.37	6.348	0.018	NA	NA	NA	NA	NA	0.025	0.16
5.62	0.1281	0.38	0.0192	5	6	5.5	NA	NA	5.62	6.561	0.013	NA	NA	NA	NA	NA	0.02	0.15
5.87	0.1345	0.4	0.0205	6	7	6.5	NA	NA	5.87	6.866	0.013	NA	NA	NA	NA	NA	0.02	0.15
6.13	0.1365	0.42	0.0189	7	8	7.5	NA	NA	6.13	6.929	0.012	NA	NA	NA	NA	NA	0.02	0.14
6.38	0.1203	0.43	0.0197	8	9	8.5	NA	NA	6.38	7.152	0.013	NA	NA	NA	NA	NA	0.017	0.16
6.63	0.1312	0.45	0.0248	9	10	9.5	NA	NA	6.63	7.85	0.014	NA	NA	NA	NA	NA	0.017	0.19
7.52	0.158	0.51	0.0281	12.5	13.5	13	NA	NA	7.52	8.99	0.015	NA	NA	NA	NA	NA	0.018	0.18
8.98	0.2106	0.61	0.0385	15	16	15.5	NA	NA	8.98	11.01	0.019	NA	NA	NA	NA	NA	0.019	0.18
9.85	0.1766	0.67	0.0281	16.5	17.5	17	NA	NA	9.85	11.348	0.016	NA	NA	NA	NA	NA	0.016	0.16
11.02	0.2961	0.75	0.0403	18.5	19.5	19	NA	NA	11.02	11.865	0.017	NA	NA	NA	NA	NA	0.025	0.14
