"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
3.64	0.00029	0.73	6e-05	10477.5	10484.5	10481	NA	NA	3.64	0.023	0.2	NA	NA	NA	NA	NA	0.013	0.09
3.67	0.00027	0.73	6e-05	10548.5	10555.5	10552	NA	NA	3.67	0.023	0.2	NA	NA	NA	NA	NA	0.012	0.08
3.72	0.00014	0.78	3e-05	10661.5	10668.5	10665	NA	NA	3.72	0.022	0.21	NA	NA	NA	NA	NA	0.006	0.11
3.77	0.00036	0.79	8e-05	10771.5	10778.5	10775	NA	NA	3.77	0.022	0.21	NA	NA	NA	NA	NA	0.016	0.09
3.84	0.00029	0.84	7e-05	10922.5	10929.5	10926	NA	NA	3.84	0.0216	0.22	NA	NA	NA	NA	NA	0.013	0.07
3.91	0.00046	0.86	0.00011	11064.5	11071.5	11068	NA	NA	3.91	0.0215	0.22	NA	NA	NA	NA	NA	0.021	0.07
3.95	0.00018	0.87	4e-05	11156.5	11163.5	11160	NA	NA	3.95	0.0215	0.22	NA	NA	NA	NA	NA	0.008	0.08
4	0.00031	0.88	7e-05	11251.5	11258.5	11255	NA	NA	4	0.0209	0.22	NA	NA	NA	NA	NA	0.015	0.09
4.03	0.00037	0.88	9e-05	11310.5	11317.5	11314	NA	NA	4.03	0.0209	0.22	NA	NA	NA	NA	NA	0.018	0.08
4.1	0.00016	0.87	4e-05	11463.5	11470.5	11467	NA	NA	4.1	0.0206	0.21	NA	NA	NA	NA	NA	0.008	0.07
4.13	0.00062	0.87	0.00013	11517.5	11524.5	11521	NA	NA	4.13	0.0206	0.21	NA	NA	NA	NA	NA	0.03	0.05
4.22	0.00054	0.84	0.00011	11709.5	11716.5	11713	NA	NA	4.22	0.0214	0.2	NA	NA	NA	NA	NA	0.025	0.06
4.25	0.00043	0.84	9e-05	11772.5	11779.5	11776	NA	NA	4.25	0.0214	0.2	NA	NA	NA	NA	NA	0.02	0.08
4.32	0.00076	0.79	0.00014	11919.5	11926.5	11923	NA	NA	4.32	0.0234	0.18	NA	NA	NA	NA	NA	0.033	0.05
4.35	0.00082	0.79	0.00015	11972.5	11979.5	11976	NA	NA	4.35	0.0234	0.18	NA	NA	NA	NA	NA	0.035	0.04
4.42	0.00045	0.77	8e-05	12144.5	12151.5	12148	NA	NA	4.42	0.0244	0.17	NA	NA	NA	NA	NA	0.018	0.06
4.45	3e-04	0.79	6e-05	12204.5	12211.5	12208	NA	NA	4.45	0.0243	0.18	NA	NA	NA	NA	NA	0.012	0.07
4.49	0.00034	0.8	7e-05	12304.5	12311.5	12308	NA	NA	4.49	0.0243	0.18	NA	NA	NA	NA	NA	0.014	0.08
4.53	0.00013	0.84	3e-05	12404.5	12411.5	12408	NA	NA	4.53	0.0232	0.19	NA	NA	NA	NA	NA	0.005	0.08
4.63	0.00027	0.85	5e-05	12626.5	12633.5	12630	NA	NA	4.63	0.0216	0.18	NA	NA	NA	NA	NA	0.012	0.07
4.69	0.00018	0.86	4e-05	12753.5	12760.5	12757	NA	NA	4.69	0.0216	0.18	NA	NA	NA	NA	NA	0.008	0.09
4.71	0.00041	0.83	8e-05	12805.5	12812.5	12809	NA	NA	4.71	0.0218	0.18	NA	NA	NA	NA	NA	0.019	0.07
4.78	0.00018	0.85	4e-05	12946.5	12953.5	12950	NA	NA	4.78	0.0218	0.18	NA	NA	NA	NA	NA	0.008	0.09
4.81	2e-04	0.86	4e-05	13004.5	13011.5	13008	NA	NA	4.81	0.0216	0.18	NA	NA	NA	NA	NA	0.009	0.07
4.9	0.00029	0.87	6e-05	13192.5	13199.5	13196	NA	NA	4.9	0.0216	0.18	NA	NA	NA	NA	NA	0.014	0.09
4.92	0.00036	0.85	7e-05	13241.5	13248.5	13245	NA	NA	4.92	0.0211	0.17	NA	NA	NA	NA	NA	0.017	0.06
4.97	0.00021	0.86	4e-05	13341.5	13348.5	13345	NA	NA	4.97	0.0211	0.17	NA	NA	NA	NA	NA	0.01	0.07
5.02	0.00038	0.81	7e-05	13441.5	13448.5	13445	NA	NA	5.02	0.022	0.16	NA	NA	NA	NA	NA	0.017	0.07
5.1	0.00012	0.79	2e-05	13598.5	13605.5	13602	NA	NA	5.1	0.0222	0.16	NA	NA	NA	NA	NA	0.006	0.09
5.17	0.00082	0.8	0.00013	13738.5	13745.5	13742	NA	NA	5.17	0.0222	0.16	NA	NA	NA	NA	NA	0.037	0.05
5.17	0.00048	0.8	8e-05	13744.5	13751.5	13748	NA	NA	5.17	0.0222	0.16	NA	NA	NA	NA	NA	0.022	0.06
5.22	0.00043	0.78	7e-05	13844.5	13851.5	13848	NA	NA	5.22	0.0223	0.15	NA	NA	NA	NA	NA	0.019	0.08
5.31	0.00067	0.77	1e-04	14028.5	14035.5	14032	NA	NA	5.31	0.0228	0.15	NA	NA	NA	NA	NA	0.029	0.04
5.34	0.00044	0.78	7e-05	14092.5	14099.5	14096	NA	NA	5.34	0.0228	0.15	NA	NA	NA	NA	NA	0.019	0.08
5.36	0.00044	0.78	7e-05	14144.5	14151.5	14148	NA	NA	5.36	0.0228	0.15	NA	NA	NA	NA	NA	0.019	0.07
5.41	0.00037	0.77	6e-05	14251.5	14258.5	14255	NA	NA	5.41	0.023	0.14	NA	NA	NA	NA	NA	0.016	0.08
5.45	0.00017	0.78	3e-05	14344.5	14351.5	14348	NA	NA	5.45	0.023	0.14	NA	NA	NA	NA	NA	0.007	0.1
5.5	0.00026	0.77	4e-05	14444.5	14451.5	14448	NA	NA	5.5	0.0227	0.14	NA	NA	NA	NA	NA	0.011	0.07
5.55	0.00124	0.78	0.00018	14544.5	14551.5	14548	NA	NA	5.55	0.0227	0.14	NA	NA	NA	NA	NA	0.055	0.05
5.59	3e-04	0.77	5e-05	14645.5	14652.5	14649	NA	NA	5.59	0.0224	0.14	NA	NA	NA	NA	NA	0.013	0.07
5.67	0.00053	0.77	8e-05	14796.5	14803.5	14800	NA	NA	5.67	0.0222	0.14	NA	NA	NA	NA	NA	0.024	0.07
5.69	0.00038	0.77	6e-05	14844.5	14851.5	14848	NA	NA	5.69	0.0222	0.14	NA	NA	NA	NA	NA	0.017	0.06
5.76	0.00034	0.78	5e-05	14988.5	14995.5	14992	NA	NA	5.76	0.0222	0.14	NA	NA	NA	NA	NA	0.016	0.05
5.81	0.00013	0.77	2e-05	15086.5	15093.5	15090	NA	NA	5.81	0.0222	0.13	NA	NA	NA	NA	NA	0.006	0.09
5.86	0.00028	0.77	4e-05	15196.5	15203.5	15200	NA	NA	5.86	0.0225	0.13	NA	NA	NA	NA	NA	0.012	0.06
5.88	5e-04	0.78	7e-05	15240.5	15247.5	15244	NA	NA	5.88	0.0225	0.13	NA	NA	NA	NA	NA	0.022	0.06
5.95	0.00035	0.78	5e-05	15376.5	15383.5	15380	NA	NA	5.95	0.0225	0.13	NA	NA	NA	NA	NA	0.015	0.06
5.98	0.00024	0.79	4e-05	15456.5	15463.5	15460	NA	NA	5.98	0.0221	0.13	NA	NA	NA	NA	NA	0.011	0.08
6.04	0.00037	0.79	6e-05	15569.5	15576.5	15573	NA	NA	6.04	0.0221	0.13	NA	NA	NA	NA	NA	0.017	0.08
6.09	0.00024	0.78	4e-05	15676.5	15683.5	15680	NA	NA	6.09	0.022	0.13	NA	NA	NA	NA	NA	0.011	0.08
6.14	0.00076	0.79	0.00011	15785	15792	15788.5	NA	NA	6.14	0.022	0.13	NA	NA	NA	NA	NA	0.035	0.06
6.17	0.00045	0.78	6e-05	15840	15847	15843.5	NA	NA	6.17	0.0224	0.13	NA	NA	NA	NA	NA	0.02	0.05
6.22	0.00045	0.78	6e-05	15940.5	15947.5	15944	NA	NA	6.22	0.0224	0.13	NA	NA	NA	NA	NA	0.02	0.05
6.29	0.00033	0.8	5e-05	16089	16096	16092.5	NA	NA	6.29	0.0222	0.13	NA	NA	NA	NA	NA	0.015	0.08
6.35	0.00029	0.82	4e-05	16209	16216	16212.5	NA	NA	6.35	0.0212	0.13	NA	NA	NA	NA	NA	0.014	0.07
6.36	0.00027	0.82	4e-05	16237.5	16244.5	16241	NA	NA	6.36	0.0212	0.13	NA	NA	NA	NA	NA	0.013	0.08
6.41	0.00084	0.82	0.00012	16337	16344	16340.5	NA	NA	6.41	0.0212	0.13	NA	NA	NA	NA	NA	0.04	0.06
6.46	0.00023	0.79	3e-05	16434.5	16441.5	16438	NA	NA	6.46	0.0209	0.12	NA	NA	NA	NA	NA	0.011	0.06
6.54	0.00019	0.8	3e-05	16573	16580	16576.5	NA	NA	6.54	0.0209	0.12	NA	NA	NA	NA	NA	0.009	0.09
6.57	6e-04	0.76	8e-05	16634.5	16641.5	16638	NA	NA	6.57	0.0219	0.12	NA	NA	NA	NA	NA	0.027	0.06
6.65	4e-04	0.76	5e-05	16787.5	16794.5	16791	NA	NA	6.65	0.0219	0.12	NA	NA	NA	NA	NA	0.018	0.07
6.67	0.00059	0.77	8e-05	16834.5	16841.5	16838	NA	NA	6.67	0.0223	0.12	NA	NA	NA	NA	NA	0.026	0.07
6.74	0.00047	0.78	6e-05	16988.5	16995.5	16992	NA	NA	6.74	0.0223	0.12	NA	NA	NA	NA	NA	0.021	0.05
6.77	0.00016	0.81	2e-05	17039.5	17046.5	17043	NA	NA	6.77	0.0215	0.12	NA	NA	NA	NA	NA	0.008	0.09
6.82	0.00027	0.81	4e-05	17139.5	17146.5	17143	NA	NA	6.82	0.0215	0.12	NA	NA	NA	NA	NA	0.012	0.06
6.87	0.00034	0.81	5e-05	17239.5	17246.5	17243	NA	NA	6.87	0.0208	0.12	NA	NA	NA	NA	NA	0.016	0.09
6.94	0.00031	0.82	4e-05	17375	17382	17378.5	NA	NA	6.94	0.0208	0.12	NA	NA	NA	NA	NA	0.015	0.06
6.98	0.00023	0.82	3e-05	17449	17456	17452.5	NA	NA	6.98	0.021	0.12	NA	NA	NA	NA	NA	0.011	0.07
7.03	0.00038	0.83	5e-05	17556.5	17563.5	17560	NA	NA	7.03	0.021	0.12	NA	NA	NA	NA	NA	0.018	0.05
7.07	0.00046	0.83	6e-05	17630.5	17637.5	17634	NA	NA	7.07	0.0209	0.12	NA	NA	NA	NA	NA	0.022	0.05
7.14	0.00034	0.84	4e-05	17765.5	17772.5	17769	NA	NA	7.14	0.0209	0.12	NA	NA	NA	NA	NA	0.016	0.05
7.18	0.00059	0.8	7e-05	17827.5	17834.5	17831	NA	NA	7.18	0.0216	0.11	NA	NA	NA	NA	NA	0.027	0.04
7.23	0.00028	0.81	4e-05	17927.5	17934.5	17931	NA	NA	7.23	0.0216	0.11	NA	NA	NA	NA	NA	0.013	0.09
7.29	0.00016	0.78	2e-05	18052.5	18059.5	18056	NA	NA	7.29	0.0223	0.11	NA	NA	NA	NA	NA	0.007	0.07
7.31	4e-04	0.78	5e-05	18093.5	18100.5	18097	NA	NA	7.31	0.0223	0.11	NA	NA	NA	NA	NA	0.018	0.06
7.38	0.00036	0.79	4e-05	18232.5	18239.5	18236	NA	NA	7.38	0.0217	0.11	NA	NA	NA	NA	NA	0.017	0.03
7.42	0.00029	0.8	4e-05	18315.5	18322.5	18319	NA	NA	7.42	0.0217	0.11	NA	NA	NA	NA	NA	0.013	0.08
7.47	0.00038	0.79	5e-05	18411.5	18418.5	18415	NA	NA	7.47	0.0219	0.11	NA	NA	NA	NA	NA	0.017	0.07
7.51	0.00041	0.79	5e-05	18492.5	18499.5	18496	NA	NA	7.51	0.0219	0.11	NA	NA	NA	NA	NA	0.019	0.05
7.6	0.00068	0.77	7e-05	18666.5	18673.5	18670	NA	NA	7.6	0.0227	0.1	NA	NA	NA	NA	NA	0.03	0.04
7.67	0.00088	0.78	1e-04	18806.5	18813.5	18810	NA	NA	7.67	0.0227	0.1	NA	NA	NA	NA	NA	0.039	0.04
7.69	0.00037	0.78	5e-05	18851.5	18858.5	18855	NA	NA	7.69	0.0227	0.1	NA	NA	NA	NA	NA	0.016	0.08
7.78	0.00048	0.83	6e-05	19026.5	19033.5	19030	NA	NA	7.78	0.0219	0.11	NA	NA	NA	NA	NA	0.022	0.05
7.79	7e-04	0.83	8e-05	19053.5	19060.5	19057	NA	NA	7.79	0.0219	0.11	NA	NA	NA	NA	NA	0.032	0.04
7.86	0.00078	0.83	9e-05	19195.5	19202.5	19199	NA	NA	7.86	0.0219	0.11	NA	NA	NA	NA	NA	0.036	0.05
7.88	0.00072	0.87	9e-05	19241.5	19248.5	19245	NA	NA	7.88	0.0211	0.11	NA	NA	NA	NA	NA	0.034	0.05
7.93	0.00032	0.87	5e-05	19335.5	19342.5	19339	NA	NA	7.93	0.0211	0.11	NA	NA	NA	NA	NA	0.015	0.09
7.98	0.00019	0.88	3e-05	19435.5	19442.5	19439	NA	NA	7.98	0.0212	0.11	NA	NA	NA	NA	NA	0.009	0.08
8.04	0.00037	0.89	5e-05	19535.5	19542.5	19539	NA	NA	8.04	0.0212	0.11	NA	NA	NA	NA	NA	0.017	0.06
8.09	0.00066	0.87	9e-05	19633.5	19640.5	19637	NA	NA	8.09	0.0218	0.11	NA	NA	NA	NA	NA	0.03	0.07
8.17	0.00048	0.88	6e-05	19787.5	19794.5	19791	NA	NA	8.17	0.0218	0.11	NA	NA	NA	NA	NA	0.022	0.07
8.2	0.00051	0.83	6e-05	19844.5	19851.5	19848	NA	NA	8.2	0.0237	0.1	NA	NA	NA	NA	NA	0.022	0.06
8.27	0.00052	0.84	6e-05	19995.5	20002.5	19999	NA	NA	8.27	0.0237	0.1	NA	NA	NA	NA	NA	0.022	0.06
8.31	0.00044	0.83	5e-05	20077.5	20084.5	20081	NA	NA	8.31	0.0231	0.1	NA	NA	NA	NA	NA	0.019	0.07
8.36	0.00057	0.84	7e-05	20196.5	20203.5	20200	NA	NA	8.36	0.0214	0.1	NA	NA	NA	NA	NA	0.027	0.06
8.39	0.00042	0.85	5e-05	20257.5	20264.5	20261	NA	NA	8.39	0.0214	0.1	NA	NA	NA	NA	NA	0.019	0.07
8.44	0.00034	0.85	5e-05	20343.5	20350.5	20347	NA	NA	8.44	0.0214	0.1	NA	NA	NA	NA	NA	0.016	0.09
8.51	0.00033	0.84	4e-05	20473.5	20480.5	20477	NA	NA	8.51	0.0218	0.1	NA	NA	NA	NA	NA	0.015	0.07
8.55	0.00063	0.84	7e-05	20561.5	20568.5	20565	NA	NA	8.55	0.0218	0.1	NA	NA	NA	NA	NA	0.029	0.05
8.58	0.00085	0.82	9e-05	20611.5	20618.5	20615	NA	NA	8.58	0.0216	0.1	NA	NA	NA	NA	NA	0.039	0.05
8.64	0.00029	0.83	3e-05	20742.5	20749.5	20746	NA	NA	8.64	0.0216	0.1	NA	NA	NA	NA	NA	0.014	0.07
8.7	4e-04	0.81	5e-05	20855.5	20862.5	20859	NA	NA	8.7	0.0214	0.09	NA	NA	NA	NA	NA	0.019	0.08
8.76	0.00034	0.81	4e-05	20972.5	20979.5	20976	NA	NA	8.76	0.0214	0.09	NA	NA	NA	NA	NA	0.016	0.06
8.79	0.00067	0.81	7e-05	21021.5	21028.5	21025	NA	NA	8.79	0.0222	0.09	NA	NA	NA	NA	NA	0.03	0.05
8.85	0.00025	0.81	3e-05	21137.5	21144.5	21141	NA	NA	8.85	0.0222	0.09	NA	NA	NA	NA	NA	0.011	0.09
8.94	4e-04	0.85	5e-05	21313.5	21320.5	21317	NA	NA	8.94	0.0222	0.09	NA	NA	NA	NA	NA	0.018	0.07
8.99	0.00106	0.88	0.00011	21426.5	21433.5	21430	NA	NA	8.99	0.0214	0.1	NA	NA	NA	NA	NA	0.05	0.04
9.04	0.00023	0.88	3e-05	21506.5	21513.5	21510	NA	NA	9.04	0.0214	0.1	NA	NA	NA	NA	NA	0.011	0.1
9.09	0.00051	0.88	6e-05	21606.5	21613.5	21610	NA	NA	9.09	0.0217	0.1	NA	NA	NA	NA	NA	0.024	0.05
9.14	0.00026	0.89	3e-05	21709.5	21716.5	21713	NA	NA	9.14	0.0217	0.1	NA	NA	NA	NA	NA	0.012	0.07
9.2	0.00031	0.85	4e-05	21816.5	21823.5	21820	NA	NA	9.2	0.0218	0.09	NA	NA	NA	NA	NA	0.014	0.1
9.2	0.00039	0.85	4e-05	21827.5	21834.5	21831	NA	NA	9.2	0.0218	0.09	NA	NA	NA	NA	NA	0.018	0.06
9.31	0.00073	0.83	8e-05	22028.5	22035.5	22032	NA	NA	9.31	0.0223	0.09	NA	NA	NA	NA	NA	0.033	0.07
9.38	0.00026	0.83	3e-05	22170.5	22177.5	22174	NA	NA	9.38	0.0223	0.09	NA	NA	NA	NA	NA	0.012	0.09
9.4	0.00061	0.81	6e-05	22218.5	22225.5	22222	NA	NA	9.4	0.0227	0.09	NA	NA	NA	NA	NA	0.027	0.05
