Age (ka BP)	Dust MAR (g/m2/a)	Age error (ka)	MAR error (g/m2/a)	Sand, >53 µm	Coarse silt, 53-20 µm	Fine silt, 20-2 µm	Clay, <2 µm
1.23	474.731	0.044	76.97	34.22	49.38	6.7	9.69
1.42	827.235	0.038	135.94	26.04	54.57	9.26	10.13
1.63	825.165	0.031	133.24	31.4	49.61	9.34	9.66
1.94	821.834	0.028	131.39	37.27	46.075	7.58	9.08
2.18	1047.784	0.032	167.05	35.12	47.6	7.9	9.38
2.33	1053.809	0.044	168.49	32.37	48.55	9.42	9.66
2.93	528.828	0.040	84.51	30.37	46.68	13.09	9.86
3.52	563.375	0.029	89.53	36.49	47.87	6.3	9.34
3.64	1359.413	0.036	215.66	30.97	49.2	10.29	9.54
3.77	1371.110	0.046	217.87	38.39	42.93	9.3	9.38
4.24	527.336	0.047	83.83	34.96	45.17	10.11	9.76
4.86	487.449	0.046	77.40	20.125	54.065	16.14	9.675
5.24	634.028	0.044	100.57	21.18	50.93	18.91	8.98
5.50	608.887	0.041	96.52	36.45	41.01	14.12	8.42
5.88	606.653	0.040	96.12	32.915	41.89	16.695	8.5
6.29	603.214	0.040	95.54	38.69	37.61	15.72	7.98
6.62	501.524	0.048	79.45	36.64	40.34	15	8.02
7.53	355.750	0.056	56.37	34.91	44.03	11.77	9.3
8.53	326.343	0.047	51.69	37.53	39.65	14.52	8.3
8.92	405.622	0.038	64.20	NA	NA	NA	NA
9.12	869.168	0.045	137.54	37.51	39.71	15.2	7.58
9.28	807.121	0.052	127.76	NA	NA	NA	NA
9.94	341.446	0.061	54.06	42.25	41.35	9.035	7.36
10.79	326.393	0.091	51.72	60.18	29.41	3.43	6.98
