"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
1.227	474.73	0.044	76.97	75	100	87.5	1.119	1.334	1.227	535.06	0.15	0.75	0.15	71.34	0.04	0.89	NA	0.05
1.424	827.24	0.038	135.94	100	125	112.5	1.334	1.513	1.424	951.78	0.16	0.75	0.15	126.9	0.04	0.87	NA	0.05
1.634	825.16	0.031	133.24	125	150	137.5	1.513	1.755	1.634	890.74	0.15	0.75	0.15	118.76	0.03	0.93	NA	0.05
1.941	821.83	0.028	131.39	150	200	175	1.755	2.127	1.941	916.12	0.15	0.75	0.15	122.15	0.02	0.9	NA	0.05
2.183	1047.78	0.032	167.05	200	225	212.5	2.127	2.239	2.183	1162.19	0.15	0.75	0.15	154.96	0.02	0.9	NA	0.05
2.332	1053.81	0.044	168.49	225	250	237.5	2.239	2.425	2.332	1258.39	0.15	0.75	0.15	167.79	0.02	0.84	NA	0.05
2.93	528.83	0.04	84.51	250	325	287.5	2.425	3.434	2.93	627.62	0.15	0.75	0.15	83.68	0.02	0.84	NA	0.05
3.521	563.37	0.029	89.53	325	350	337.5	3.434	3.608	3.521	633.98	0.15	0.75	0.15	84.53	0.02	0.89	NA	0.05
3.64	1359.41	0.036	215.66	350	375	362.5	3.608	3.671	3.64	1582.28	0.15	0.75	0.15	210.97	0.01	0.86	NA	0.05
3.766	1371.11	0.046	217.87	375	400	387.5	3.671	3.86	3.766	1488.1	0.15	0.75	0.15	198.41	0.02	0.92	NA	0.05
4.237	527.34	0.047	83.83	400	450	425	3.86	4.613	4.237	597.13	0.15	0.75	0.15	79.62	0.02	0.88	NA	0.05
4.864	487.45	0.046	77.4	450	500	475	4.613	5.114	4.864	598.09	0.15	0.75	0.15	79.74	0.01	0.82	NA	0.05
5.238	634.03	0.044	100.57	500	525	512.5	5.114	5.361	5.238	752.01	0.15	0.75	0.15	100.27	0.01	0.84	NA	0.05
5.498	608.89	0.041	96.52	525	550	537.5	5.361	5.634	5.498	721.15	0.15	0.75	0.15	96.15	0.01	0.84	NA	0.05
5.885	606.65	0.04	96.12	550	600	575	5.634	6.135	5.885	726.74	0.15	0.75	0.15	96.9	0.01	0.83	NA	0.05
6.285	603.21	0.04	95.54	600	625	612.5	6.135	6.435	6.285	702.25	0.15	0.75	0.15	93.63	0.01	0.86	NA	0.05
6.615	501.52	0.048	79.45	625	650	637.5	6.435	6.795	6.615	568.18	0.15	0.75	0.15	75.76	0.01	0.88	NA	0.05
7.525	355.75	0.056	56.37	650	725	687.5	6.795	8.255	7.525	412.09	0.15	0.75	0.15	54.95	0.01	0.86	NA	0.05
8.528	326.34	0.047	51.69	725	750	737.5	8.255	8.8	8.528	374.06	0.15	0.75	0.15	49.88	0.01	0.87	NA	0.05
8.921	405.62	0.038	64.2	750	775	762.5	8.8	9.041	8.921	477.1	0.15	0.75	0.15	63.61	0.01	0.85	NA	0.05
9.118	869.17	0.045	137.54	775	800	787.5	9.041	9.195	9.118	949.37	0.15	0.75	0.15	126.58	0.01	0.92	NA	0.05
9.283	807.12	0.052	127.76	800	813	806.5	9.195	9.37	9.283	866.26	0.15	0.75	0.15	115.5	0.01	0.93	NA	0.05
9.941	341.45	0.061	54.06	813	865	839	9.37	10.511	9.941	370.44	0.15	0.75	0.15	49.39	0.01	0.92	NA	0.05
10.786	326.39	0.091	51.72	865	888	876.5	10.511	11.061	10.786	332.64	0.15	0.75	0.15	44.35	0.01	0.98	NA	0.05
