"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
0.12	0.00037	0.13	0.00039	1179.2	1186.2	1182.7	NA	NA	0.12	0.0266	1.05	NA	NA	NA	NA	NA	0.014	0.02
0.21	0.00036	0.15	0.00027	1638	1645	1641.5	NA	NA	0.21	0.0269	0.75	NA	NA	NA	NA	NA	0.013	0.03
0.34	0.00045	0.16	0.00021	2265.5	2272.5	2269	NA	NA	0.34	0.0256	0.47	NA	NA	NA	NA	NA	0.018	0.02
0.46	0.00027	0.16	9e-05	2811.3	2818.3	2814.8	NA	NA	0.46	0.0264	0.35	NA	NA	NA	NA	NA	0.01	0.03
0.61	0.00066	0.17	0.00018	3416	3423	3419.5	NA	NA	0.61	0.0279	0.28	NA	NA	NA	NA	NA	0.024	0.02
0.72	0.00032	0.19	8e-05	3890.5	3897.5	3894	NA	NA	0.72	0.0256	0.26	NA	NA	NA	NA	NA	0.013	0.03
0.85	0.00029	0.19	6e-05	4406.3	4413.3	4409.8	NA	NA	0.85	0.0293	0.22	NA	NA	NA	NA	NA	0.01	0.03
1	0.00021	0.19	4e-05	4959.5	4966.5	4963	NA	NA	1	0.0277	0.19	NA	NA	NA	NA	NA	0.008	0.04
1.16	0.00031	0.18	5e-05	5564.3	5571.3	5567.8	NA	NA	1.16	0.0286	0.15	NA	NA	NA	NA	NA	0.011	0.04
1.31	0.00037	0.2	6e-05	6143.5	6150.5	6147	NA	NA	1.31	0.0288	0.15	NA	NA	NA	NA	NA	0.013	0.03
1.45	0.00029	0.2	4e-05	6661.5	6668.5	6665	NA	NA	1.45	0.0274	0.14	NA	NA	NA	NA	NA	0.011	0.04
1.6	0.00029	0.2	4e-05	7156.5	7163.5	7160	NA	NA	1.6	0.0275	0.13	NA	NA	NA	NA	NA	0.01	0.03
1.78	0.00029	0.2	3e-05	7761.5	7768.5	7765	NA	NA	1.78	0.0273	0.11	NA	NA	NA	NA	NA	0.01	0.03
1.93	0.00044	0.21	5e-05	8256.5	8263.5	8260	NA	NA	1.93	0.0282	0.11	NA	NA	NA	NA	NA	0.016	0.03
2.14	0.00051	0.23	6e-05	8916.5	8923.5	8920	NA	NA	2.14	0.0275	0.11	NA	NA	NA	NA	NA	0.019	0.03
2.3	0.00029	0.23	3e-05	9411.5	9418.5	9415	NA	NA	2.3	0.0268	0.1	NA	NA	NA	NA	NA	0.011	0.04
2.39	0.00018	0.24	2e-05	9679	9686	9682.5	NA	NA	2.39	0.0256	0.1	NA	NA	NA	NA	NA	0.007	0.01
2.41	0.00019	0.24	2e-05	9734	9741	9737.5	NA	NA	2.41	0.0264	0.1	NA	NA	NA	NA	NA	0.007	0.01
2.48	0.00039	0.25	4e-05	9954	9961	9957.5	NA	NA	2.48	0.0275	0.1	NA	NA	NA	NA	NA	0.014	0.02
