"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
0.93	3.4	0.09	0.24	1	2	1.5	NA	NA	0.93	12.8	0.05	NA	NA	NA	NA	0.27	NA	0.05
1.86	3.1	0.19	0.22	2.5	3.5	3	NA	NA	1.86	12.5	0.05	NA	NA	NA	NA	0.25	NA	0.05
2.79	3	0.28	0.21	4	5	4.5	NA	NA	2.79	13	0.05	NA	NA	NA	NA	0.23	NA	0.05
3.63	2.8	0.36	0.2	5.5	6.2	5.85	NA	NA	3.63	11.9	0.05	NA	NA	NA	NA	0.24	NA	0.05
4.34	2.5	0.43	0.18	7.5	8.5	8	NA	NA	4.34	10.7	0.05	NA	NA	NA	NA	0.23	NA	0.05
6.11	2.5	0.61	0.18	9.5	10.2	9.85	NA	NA	6.11	10.9	0.05	NA	NA	NA	NA	0.23	NA	0.05
6.61	2.6	0.66	0.18	10.3	11	10.65	NA	NA	6.61	10.5	0.05	NA	NA	NA	NA	0.25	NA	0.05
7.42	2.9	0.74	0.21	11.5	12.4	11.95	NA	NA	7.42	10.8	0.05	NA	NA	NA	NA	0.27	NA	0.05
7.88	3.1	0.79	0.22	12.4	13	12.7	NA	NA	7.88	10.9	0.05	NA	NA	NA	NA	0.28	NA	0.05
9.93	4.2	0.99	0.3	15.5	16.5	16	NA	NA	9.93	10.7	0.05	NA	NA	NA	NA	0.39	NA	0.05
10.55	5	1.06	0.35	16.5	17.5	17	NA	NA	10.55	11.3	0.05	NA	NA	NA	NA	0.44	NA	0.05
11.01	5	1.1	0.35	17.5	18	17.75	NA	NA	11.01	11.2	0.05	NA	NA	NA	NA	0.45	NA	0.05
