"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
1.69	NA	0.46	NA	10	50	30	1.2	2.17	1.685	NA	NA	NA	NA	NA	NA	1	NA	NA
2.93	588.08	0.46	96.72	70	110	90	2.17	3.68	2.925	588.08	0.16	1.48	0.15	39.73509934	0.07	1	NA	NA
3.92	314.89	0.46	61.68	80	120	100	3.68	4.15	3.915	314.89	0.2	1.48	0.15	21.27659574	0.13	1	NA	NA
4.3	493.33	0.46	83.96	90	130	110	4.15	4.45	4.3	493.33	0.17	1.48	0.15	33.33333333	0.08	1	NA	NA
5.41	77.08	0.46	41.31	100	140	120	4.45	6.37	5.41	77.08	0.54	1.48	0.15	5.208333333	0.51	1	NA	NA
6.51	518	0.46	87.24	110	150	130	6.37	6.655714286	6.512857143	518	0.17	1.48	0.15	35	0.08	1	NA	NA
6.8	518	0.46	87.24	120	160	140	6.655714286	6.941428571	6.798571429	518	0.17	1.48	0.15	35	0.08	1	NA	NA
7.08	518	0.46	87.24	130	170	150	6.941428571	7.227142857	7.084285714	518	0.17	1.48	0.15	35	0.08	1	NA	NA
7.37	518	0.46	87.24	140	180	160	7.227142857	7.512857143	7.37	518	0.17	1.48	0.15	35	0.08	1	NA	NA
7.66	518	0.46	87.24	150	190	170	7.512857143	7.798571429	7.655714286	518	0.17	1.48	0.15	35	0.08	1	NA	NA
7.94	518	0.46	87.24	160	200	180	7.798571429	8.084285714	7.941428571	518	0.17	1.48	0.15	35	0.08	1	NA	NA
8.23	518	0.46	87.24	170	210	190	8.084285714	8.37	8.227142857	518	0.17	1.48	0.15	35	0.08	1	NA	NA
9.5	65.78	0.46	40.87	180	220	200	8.37	10.62	9.495	65.78	0.62	1.48	0.15	4.444444444	0.6	1	NA	NA
11.71	67.99	0.46	40.95	190	230	210	10.62	12.79666667	11.70833333	67.99	0.6	1.48	0.15	4.594180704	0.58	1	NA	NA
