"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
0.36	17.84	0.27	3.78	0	1	0.5	NA	NA	0.358	40.9	0.15	NA	NA	NA	NA	0.44	NA	0.15
0.69	14.53	0.27	2.82	5	6	5.5	NA	NA	0.6865	34.796	0.123	NA	NA	NA	NA	0.42	NA	0.15
0.99	13.44	0.08	2.69	10	11	10.5	NA	NA	0.989	33.405	0.132	NA	NA	NA	NA	0.4	NA	0.15
1.24	14.04	0.19	2.85	15	16	15.5	NA	NA	1.2385	35.701	0.137	NA	NA	NA	NA	0.39	NA	0.15
1.5	13.31	0.24	2.65	20	21	20.5	NA	NA	1.499	34.932	0.131	NA	NA	NA	NA	0.38	NA	0.15
1.76	11.56	0.26	2.17	25	26	25.5	NA	NA	1.7615	32.912	0.112	NA	NA	NA	NA	0.35	NA	0.15
2.03	12.08	0.27	2.43	30	31	30.5	NA	NA	2.025	33.805	0.133	NA	NA	NA	NA	0.36	NA	0.15
2.29	10.24	0.26	1.9	35	36	35.5	NA	NA	2.287	31.477	0.11	NA	NA	NA	NA	0.33	NA	0.15
2.55	9.53	0.24	1.75	40	41	40.5	NA	NA	2.5505	30.429	0.106	NA	NA	NA	NA	0.31	NA	0.15
2.81	8.35	0.19	1.55	45	46	45.5	NA	NA	2.8105	29.315	0.109	NA	NA	NA	NA	0.28	NA	0.15
3.06	7.42	0.07	1.37	50	51	50.5	NA	NA	3.056	29.078	0.108	NA	NA	NA	NA	0.26	NA	0.15
3.36	7.99	0.18	1.51	55	56	55.5	NA	NA	3.3635	28.937	0.114	NA	NA	NA	NA	0.28	NA	0.15
3.68	6.06	0.15	1.08	60	61	60.5	NA	NA	3.6845	26.391	0.096	NA	NA	NA	NA	0.23	NA	0.15
4.01	5.09	0.21	0.92	65	66	65.5	NA	NA	4.0095	24.969	0.099	NA	NA	NA	NA	0.2	NA	0.15
4.4	5	0.31	0.86	70	71	70.5	NA	NA	4.403	24.183	0.085	NA	NA	NA	NA	0.21	NA	0.15
4.8	5.23	0.36	0.91	75	76	75.5	NA	NA	4.7995	24.336	0.087	NA	NA	NA	NA	0.22	NA	0.15
5.2	6.03	0.38	1.06	80	81	80.5	NA	NA	5.1955	25.607	0.092	NA	NA	NA	NA	0.24	NA	0.15
5.59	5.03	0.36	0.87	85	86	85.5	NA	NA	5.5915	23.215	0.085	NA	NA	NA	NA	0.22	NA	0.15
5.99	5.96	0.32	1.07	90	91	90.5	NA	NA	5.986	23.712	0.098	NA	NA	NA	NA	0.25	NA	0.15
6.38	5.74	0.23	1.01	95	96	95.5	NA	NA	6.3785	22.47	0.093	NA	NA	NA	NA	0.26	NA	0.15
6.78	5.74	0.2	0.94	100	101	100.5	NA	NA	6.782	21.978	0.068	NA	NA	NA	NA	0.26	NA	0.15
7.31	5.06	0.13	0.82	105	106	105.5	NA	NA	7.313	22.114	0.063	NA	NA	NA	NA	0.23	NA	0.15
7.51	4.54	0.1	0.74	110	111	110.5	NA	NA	7.506	19.26	0.067	NA	NA	NA	NA	0.24	NA	0.15
8.21	5.08	0.15	0.83	130	131	130.5	NA	NA	8.213	20.338	0.067	NA	NA	NA	NA	0.25	NA	0.15
8.57	5.79	0.15	0.93	140	141	140.5	NA	NA	8.569	21.905	0.059	NA	NA	NA	NA	0.26	NA	0.15
9.3	5.82	0.14	0.94	160	161	160.5	NA	NA	9.296	22.515	0.059	NA	NA	NA	NA	0.26	NA	0.15
10.12	5.27	0.14	0.84	180	181	180.5	NA	NA	10.118	20.366	0.051	NA	NA	NA	NA	0.26	NA	0.15
10.32	5.74	0.12	0.94	185	186	185.5	NA	NA	10.323	21.657	0.065	NA	NA	NA	NA	0.26	NA	0.15
10.52	5.98	0.08	0.97	190	191	190.5	NA	NA	10.523	21.638	0.064	NA	NA	NA	NA	0.28	NA	0.15
10.66	5.66	0.06	0.93	195	196	195.5	NA	NA	10.659	21.375	0.067	NA	NA	NA	NA	0.26	NA	0.15
10.78	6.15	0.1	1.01	200	201	200.5	NA	NA	10.776	21.537	0.066	NA	NA	NA	NA	0.29	NA	0.15
11.01	6.14	0.11	1.02	210	211	210.5	NA	NA	11.01	21.438	0.071	NA	NA	NA	NA	0.29	NA	0.15
11.25	6.79	0.13	1.15	220	221	220.5	NA	NA	11.245	22.963	0.079	NA	NA	NA	NA	0.3	NA	0.15
11.48	6.97	0.15	1.19	230	231	230.5	NA	NA	11.48	22.451	0.081	NA	NA	NA	NA	0.31	NA	0.15
11.71	11.5	0.16	2.07	240	241	240.5	NA	NA	11.714	29.097	0.1	NA	NA	NA	NA	0.4	NA	0.15
11.83	14.49	0.16	2.73	245	246	245.5	NA	NA	11.833	32.925	0.114	NA	NA	NA	NA	0.44	NA	0.15
11.95	16.86	0.17	3.65	250	251	250.5	NA	NA	11.95	39.985	0.156	NA	NA	NA	NA	0.42	NA	0.15
