"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
5	0.2271	0.34	0.031	5	6	5.5	NA	NA	5	6.779	0.014	NA	NA	NA	NA	NA	0.034	0.14
5.569	0.1653	0.379	0.0193	7	8	7.5	NA	NA	5.569	6.647	0.007	NA	NA	NA	NA	NA	0.025	0.12
5.66	0.213	0.385	0.0305	10	11	10.5	NA	NA	5.6596	7.359	0.014	NA	NA	NA	NA	NA	0.029	0.14
5.72	0.1691	0.389	0.0223	12	13	12.5	NA	NA	5.72	6.884	0.007	NA	NA	NA	NA	NA	0.025	0.13
5.811	0.191	0.395	0.0293	15	16	15.5	NA	NA	5.8106	8.526	0.012	NA	NA	NA	NA	NA	0.022	0.15
7.368	0.1951	0.501	0.023	18.5	19.5	19	NA	NA	7.368	9.201	0.007	NA	NA	NA	NA	NA	0.021	0.12
8.314	0.1955	0.565	0.0304	20	21	20.5	NA	NA	8.313529412	9.673	0.017	NA	NA	NA	NA	NA	0.02	0.15
9.574	0.1943	0.651	0.0253	22	23	22.5	NA	NA	9.574235294	9.592	0.007	NA	NA	NA	NA	NA	0.02	0.13
10.52	0.1706	0.715	0.0163	23.5	24.5	24	NA	NA	10.51976471	10.001	0.011	NA	NA	NA	NA	NA	0.017	0.09
11.465	0.2738	0.78	0.0375	25	26	25.5	NA	NA	11.46529412	10.129	0.014	NA	NA	NA	NA	NA	0.027	0.14
