Id	Name	Longitude	Latitude	Depth	RecentDate	OldestDate	Archive	DataType	OriginalDataReference	OriginalDataDOI	DatabaseReference	DatabaseDOI
1	EDC	123.35	-75.1	22418.496	0.12	11.99	Ice	MAR + Size	Delmonte et al., 2004		S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
2	Vostok-BH7	106.8	-78.47	16953.076	3.64	10.08	Ice	MAR + Size	Delmonte et al., 2004		S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
3	GISP2	-37.629999999999995	72.58	106288.232	0.17	11.98	Ice	MAR	Mayewski et al., 1997	10.1029/96JC03365	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
4	EN06601-0038PG	-20.49799999999999	4.918	8.188	2.34	10.93	Ocean	MAR	Francois et al., 1990	10.1029/PA005i005p00761	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
5	EN06601-0021PG	-20.625	4.233	9.896	0.93	11.01	Ocean	MAR	Francois et al., 1990	10.1029/PA005i005p00762	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
6	EN06601-0029PG	-19.762	2.46	9.844	1.64	11.45	Ocean	MAR	Francois et al., 1990	10.1029/PA005i005p00763	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
7	RC24-12	-11.416999999999973	-3.01	37.667	1.79	11.91	Ocean	MAR	Bradtmiller et al., 2006	10.1029/2006PA001282	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
8	RC24-07	-11.916999999999973	-1.333	26.6	1.89	10.83	Ocean	MAR	Bradtmiller et al., 2006	10.1029/2006PA001283	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
9	RC24-01	-13.649999999999977	0.55	13.9	4.41	11.6	Ocean	MAR	Bradtmiller et al., 2006	10.1029/2006PA001284	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
10	V22-182	-17.269999999999982	-0.53	21.1	0.87	11.01	Ocean	MAR	Bradtmiller et al., 2006	10.1029/2006PA001285	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
11	V30-40	-23.149999999999977	-0.2	15.125	1.52	10.97	Ocean	MAR	Bradtmiller et al., 2006	10.1029/2006PA001286	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
12	OC437-07-GC27	-10.629999999999995	30.88	30.5	0.53	11.27	Ocean	MAR + Size	McGee et al., 2013	10.1016/j.epsl.2013.03.054	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
13	OC437-07-GC37	-15.117999999999995	26.816	30.5	1.53	11.23	Ocean	MAR + Size	McGee et al., 2013	10.1016/j.epsl.2013.03.055	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
14	OC437-07-GC49	-17.853999999999985	23.206	33.071	0.55	11.71	Ocean	MAR + Size	McGee et al., 2013	10.1016/j.epsl.2013.03.056	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
15	OC437-07-GC66	-17.860000000000014	19.944	109.689	0.36	11.95	Ocean	MAR + Size	McGee et al., 2013	10.1016/j.epsl.2013.03.057	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
16	OC437-07-GC68	-17.281999999999982	19.363	38.868	1.92	11.95	Ocean	MAR + Size	McGee et al., 2013	10.1016/j.epsl.2013.03.058	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
17	PS2498-1	-14.819999999999993	-44.25	32.477	2.5	11.85	Ocean	MAR	Anderson et al., 2014	10.1098/rsta.2013.0054	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
18	RC27-42	59.8	16.5	25.4	5.0	11.6	Ocean	MAR	Pourmand et al., 2007	10.1029/2007PA001502	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
19	93KL	64.22	23.58	41.667	1.6	11.83	Ocean	MAR	Pourmand et al., 2004	10.1016/S0012?821X(04)00109?8	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
20	ODP138-848B-1H-1	-111.0	-3	11.0	0.0	12.0	Ocean	MAR	McGee et al., 2007	10.1016/j.epsl.2007.02.033	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
21	ODP138-849A-1H-1	-111.0	0	16.0	0.0	10.0	Ocean	MAR	McGee et al., 2007	10.1016/j.epsl.2007.02.034	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
22	ODP138-850A-1H-1	-111.0	1	11.0	0.0	10.0	Ocean	MAR	McGee et al., 2007	10.1016/j.epsl.2007.02.035	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
23	ODP138-851E-1H-1	-111.0	3	11.0	0.0	10.0	Ocean	MAR	McGee et al., 2007	10.1016/j.epsl.2007.02.036	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
24	ODP138-852A-1H-1	-110.0	5	8.5	0.0	12.0	Ocean	MAR	McGee et al., 2007	10.1016/j.epsl.2007.02.037	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
25	ODP138-853B-1H-1	-110.0	7	5.5	0.0	12.0	Ocean	MAR	McGee et al., 2007	10.1016/j.epsl.2007.02.038	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
26	TT013-PC72	-140.0	0	16.3	5.0	11.465	Ocean	MAR	Anderson et al., 2006	10.1016/j.epsl.2005.11.061	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
27	TT013-MC27	-140.0	-3	10.0	2.6	10.5	Ocean	MAR	Anderson et al., 2006	10.1016/j.epsl.2005.11.062	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
28	TT013-MC69	-140.0	2	11.438	4.0	11.68	Ocean	MAR	Anderson et al., 2006	10.1016/j.epsl.2005.11.063	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
